Hand,Count,TotalProfitBB,AvgProfitBB,VPIP%,PFR%
AA,261,8262.86,31.658467432950193,99.23371647509579,84.67432950191571
AKs,138,156.79999999999995,1.1362318840579706,100.0,74.63768115942028
AQs,121,1058.7349999999997,8.749876033057848,95.86776859504133,64.46280991735537
AJs,108,1047.4,9.69814814814815,96.29629629629629,46.2962962962963
ATs,120,286.76,2.3896666666666664,96.66666666666667,39.166666666666664
A9s,88,573.0500000000001,6.511931818181819,94.31818181818183,35.22727272727273
A8s,102,268.82000000000005,2.635490196078432,94.11764705882352,42.15686274509804
A7s,73,492.6299999999999,6.74835616438356,94.52054794520548,34.24657534246575
A6s,83,719.4349999999998,8.667891566265059,93.97590361445783,27.710843373493976
A5s,63,717.0450000000001,11.381666666666668,93.65079365079364,17.46031746031746
A4s,82,529.05,6.451829268292682,92.6829268292683,24.390243902439025
A3s,74,548.5699999999999,7.413108108108108,94.5945945945946,28.37837837837838
A2s,77,503.5899999999999,6.540129870129869,90.9090909090909,25.97402597402597
AKo,342,1038.9550000000004,3.0378801169590655,98.83040935672514,77.77777777777779
KK,275,3933.340000000001,14.303054545454549,99.27272727272727,81.45454545454545
KQs,119,391.125,3.286764705882353,94.9579831932773,44.537815126050425
KJs,91,688.8349999999999,7.569615384615384,94.5054945054945,51.64835164835166
KTs,94,940.6299999999999,10.006702127659572,91.48936170212765,28.723404255319153
K9s,72,423.705,5.884791666666667,95.83333333333334,25.0
K8s,40,12.280000000000001,0.30700000000000005,77.5,20.0
K7s,56,250.07999999999996,4.465714285714285,80.35714285714286,21.428571428571427
K6s,29,-100.77000000000001,-3.4748275862068967,82.75862068965517,13.793103448275861
K5s,46,159.49,3.4671739130434784,89.13043478260869,23.91304347826087
K4s,43,734.15,17.073255813953487,86.04651162790698,23.25581395348837
K3s,40,183.70000000000002,4.5925,80.0,7.5
K2s,35,143.28,4.093714285714285,91.42857142857143,17.142857142857142
AQo,317,1756.5549999999998,5.541182965299684,96.52996845425868,60.88328075709779
KQo,249,1948.2799999999993,7.824417670682728,95.98393574297188,36.54618473895582
QQ,240,3727.059999999999,15.529416666666663,99.16666666666667,82.5
QJs,92,408.53499999999997,4.4405978260869565,97.82608695652173,40.21739130434783
QTs,104,213.03,2.0483653846153844,92.3076923076923,25.961538461538463
Q9s,66,-162.19,-2.4574242424242425,92.42424242424242,25.757575757575758
Q8s,58,513.8299999999999,8.859137931034482,93.10344827586206,17.24137931034483
Q7s,34,131.28999999999996,3.861470588235293,94.11764705882352,14.705882352941178
Q6s,33,48.94999999999999,1.483333333333333,93.93939393939394,12.121212121212121
Q5s,31,102.38,3.30258064516129,90.32258064516128,32.25806451612903
